model_size,batch_size,context_length,dtype,tool,event_type,name,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us
small,1,1024,fp32,torch.profiler,torch_op,aten::copy_,183,6857.2840000000815,5696.362000000056,2047.3389999999563,2047.3389999999563
small,1,1024,fp32,torch.profiler,cuda_kernel,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",157,0.0,0.0,1967.7229999999763,1967.7229999999763
small,1,1024,fp32,torch.profiler,torch_op,MulBackward0,170,3259.6110000000263,440.7490000001271,1850.000999999931,0.0
small,1,1024,fp32,torch.profiler,cuda_kernel,"void (anonymous namespace)::softmax_warp_backward<float, float, float, 10, false, false>(float*, float const*, float const*, int, int, int, bool const*)",12,0.0,0.0,1777.8309999999983,1777.8309999999983
small,1,1024,fp32,torch.profiler,torch_op,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,111,2451.4620000000286,455.67800000007264,1714.3149999999732,0.0
small,1,1024,fp32,torch.profiler,torch_op,torch::autograd::AccumulateGrad,111,1995.783999999956,407.05099999988306,1714.3149999999732,0.0
small,1,1024,fp32,torch.profiler,torch_op,aten::_foreach_addcmul_,1,211.51699999999255,138.34299999993527,1659.8800000000192,1659.8800000000192
small,1,1024,fp32,torch.profiler,cuda_kernel,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<3>, at::native::(anonymous namespace)::PointwiseOpScalarFunctor<float, 3, 3, 0>, std::multiplies<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<3>, at::native::(anonymous namespace)::PointwiseOpScalarFunctor<float, 3, 3, 0>, std::multiplies<float>, float)",7,0.0,0.0,1659.8800000000192,1659.8800000000192
small,1,1024,fp32,torch.profiler,torch_op,aten::_foreach_lerp_,1,78.38499999999476,44.10199999999895,1657.828999999998,1657.828999999998
small,1,1024,fp32,torch.profiler,cuda_kernel,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::TernaryOpScalarFunctor<float, 2, 2, 0>, at::native::LerpFunctor<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::TernaryOpScalarFunctor<float, 2, 2, 0>, at::native::LerpFunctor<float>, float)",7,0.0,0.0,1657.828999999998,1657.828999999998
